               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12143,             0.04073,            0.065185,          0.00048961,           0.0032912,          0.00015169,          2.6946e-05,             0.09765,            0.035628,            0.053549,              0.0015,              0.0015,              0.0865
                   1,            0.096804,            0.049785,            0.053841,            0.019498,            0.063538,            0.013111,           0.0028034,            0.078411,               0.046,            0.047731,           0.0030923,           0.0030923,            0.072092
                   2,            0.083474,            0.050192,            0.050769,              0.2692,             0.13719,            0.032605,           0.0084105,            0.068248,             0.04288,            0.043829,           0.0046767,           0.0046767,            0.057677
                   3,            0.093043,            0.039207,            0.051859,             0.25863,            0.081904,            0.028856,            0.007006,            0.080833,            0.032174,            0.042508,           0.0062532,           0.0062532,            0.043253
                   4,            0.084822,            0.040219,            0.050191,              0.4019,               0.102,            0.059603,            0.018486,            0.071426,            0.039052,            0.040069,           0.0078218,           0.0078218,            0.028822
                   5,            0.067113,            0.041872,            0.045494,             0.39382,               0.233,            0.085987,            0.022505,            0.065312,            0.051327,            0.039587,           0.0093824,           0.0093824,            0.014382
                   6,            0.067051,            0.040201,             0.04545,             0.43261,             0.28722,             0.18868,            0.064886,            0.062379,            0.045733,            0.036681,           0.0098515,           0.0098515,           0.0098515
                   7,            0.061337,            0.038471,             0.04286,             0.41777,             0.26595,              0.1885,            0.052467,            0.054746,            0.037551,            0.035953,           0.0098515,           0.0098515,           0.0098515
                   8,            0.056826,            0.037927,             0.04406,             0.36102,             0.49118,             0.23426,            0.067656,            0.045009,             0.03391,            0.033999,           0.0098268,           0.0098268,           0.0098268
                   9,            0.051216,            0.036597,            0.041116,             0.61129,             0.35519,             0.30091,             0.10102,            0.045808,             0.03689,            0.031715,            0.009802,            0.009802,            0.009802
                  10,            0.048769,            0.035025,            0.036231,             0.57112,             0.57466,             0.50899,             0.17796,            0.037965,            0.028356,            0.028224,           0.0097773,           0.0097773,           0.0097773
                  11,            0.050486,            0.033541,            0.037183,             0.66269,             0.61197,             0.56412,             0.24232,            0.037141,            0.028027,            0.025978,           0.0097525,           0.0097525,           0.0097525
                  12,            0.048283,            0.033796,            0.032703,             0.81095,              0.6328,             0.65822,              0.2961,            0.034444,            0.025667,            0.023238,           0.0097278,           0.0097278,           0.0097278
                  13,            0.045904,            0.032835,            0.030357,             0.73379,             0.64783,             0.65805,             0.33106,            0.031832,            0.029524,             0.02114,            0.009703,            0.009703,            0.009703
                  14,            0.046381,            0.031567,            0.029824,             0.78771,             0.65585,             0.69489,             0.37793,            0.030401,            0.026094,            0.018349,           0.0096783,           0.0096783,           0.0096783
                  15,             0.04389,            0.030173,            0.024717,             0.81564,              0.6919,             0.70761,              0.3768,            0.032954,            0.023862,            0.016985,           0.0096535,           0.0096535,           0.0096535
                  16,            0.044535,            0.031098,            0.024485,             0.82474,             0.69817,             0.69563,             0.34793,            0.033695,            0.022971,            0.015183,           0.0096288,           0.0096288,           0.0096288
                  17,            0.043461,            0.029631,            0.022242,              0.8821,             0.69717,             0.72808,               0.378,            0.033523,            0.022839,            0.014424,            0.009604,            0.009604,            0.009604
                  18,             0.04409,            0.030578,            0.021796,              0.9461,             0.70672,             0.74949,             0.35849,             0.03313,            0.022968,            0.013461,           0.0095793,           0.0095793,           0.0095793
                  19,            0.041908,            0.029684,            0.021221,             0.92875,             0.71202,             0.73668,             0.37865,            0.030815,            0.022637,            0.012677,           0.0095545,           0.0095545,           0.0095545
                  20,            0.039194,            0.029007,            0.016154,             0.94038,             0.72468,             0.75796,             0.41801,            0.027333,            0.022292,            0.011393,           0.0095298,           0.0095298,           0.0095298
                  21,            0.041019,            0.029861,            0.014943,             0.95362,             0.72821,             0.76293,             0.46306,            0.025762,            0.021622,            0.010772,            0.009505,            0.009505,            0.009505
                  22,            0.039874,             0.02884,            0.016411,             0.95064,              0.7367,             0.76795,             0.46008,            0.027921,             0.02171,           0.0097052,           0.0094803,           0.0094803,           0.0094803
                  23,             0.03887,             0.02896,             0.01675,             0.95125,             0.72545,             0.76633,             0.41974,            0.026659,            0.022644,           0.0098153,           0.0094555,           0.0094555,           0.0094555
                  24,            0.038938,            0.029079,            0.015716,             0.95689,             0.72981,             0.76967,             0.44633,            0.027213,            0.021811,           0.0093878,           0.0094307,           0.0094307,           0.0094307
